KG1 lines of sight, obtained from drawing K09000100 Issue E dated 16/01/99 (20°-320°) -resampling using cubic interpolation A.Boboc 27/01/2014
Temperature R1 R2 R3 R4 R5 R6 R7 R8 Z1 Z2 Z3 Z4 Z5 Z6 Z7 Z8 A1 A2 A3 A4 A5 A6 A7 A8 
deg.C m m m m m m m m m m m m m m m m rad rad rad rad rad rad rad rad 
84 1.887 2.6997 3.0368 3.7329 3 3 3 3 0 0 0 0 -0.60866 -0.37338 -0.1468 0.18688 1.5708 1.5705 -1.567 1.5708 0.3901 0.1681 -0.0389 -0.2437 
85 1.887 2.6997 3.0369 3.733 3 3 3 3 0 0 0 0 -0.60868 -0.37339 -0.1468 0.18689 1.5708 1.5705 -1.567 1.5708 0.3901 0.1681 -0.0389 -0.2437 
86 1.8871 2.6998 3.0369 3.733 3 3 3 3 0 0 0 0 -0.6087 -0.3734 -0.1468 0.1869 1.5708 1.5705 -1.567 1.5708 0.3901 0.1681 -0.0389 -0.2437 
87 1.8871 2.6998 3.0369 3.733 3 3 3 3 0 0 0 0 -0.60872 -0.37341 -0.1468 0.18691 1.5708 1.5705 -1.567 1.5708 0.3901 0.1681 -0.0389 -0.2437 
88 1.8871 2.6998 3.037 3.7331 3 3 3 3 0 0 0 0 -0.60875 -0.37343 -0.1468 0.18692 1.5708 1.5705 -1.567 1.5708 0.3901 0.1681 -0.0389 -0.2437 
89 1.8871 2.6999 3.037 3.7331 3 3 3 3 0 0 0 0 -0.60877 -0.37344 -0.1468 0.18693 1.5708 1.5705 -1.567 1.5708 0.3901 0.1681 -0.0389 -0.2437 
90 1.8872 2.6999 3.037 3.7332 3 3 3 3 0 0 0 0 -0.60879 -0.37345 -0.1468 0.18694 1.5708 1.5705 -1.567 1.5708 0.3901 0.1681 -0.0389 -0.2437 
91 1.8872 2.6999 3.0371 3.7332 3 3 3 3 0 0 0 0 -0.60881 -0.37346 -0.1468 0.18695 1.5708 1.5705 -1.567 1.5708 0.3901 0.1681 -0.0389 -0.2437 
92 1.8872 2.6999 3.0371 3.7333 3 3 3 3 0 0 0 0 -0.60883 -0.37347 -0.1468 0.18697 1.5708 1.5705 -1.567 1.5708 0.3901 0.1681 -0.0389 -0.2437 
93 1.8872 2.7 3.0371 3.7333 3 3 3 3 0 0 0 0 -0.60886 -0.37348 -0.1468 0.18698 1.5708 1.5705 -1.567 1.5708 0.3901 0.1681 -0.0389 -0.2437 
94 1.8873 2.7 3.0372 3.7334 3 3 3 3 0 0 0 0 -0.60888 -0.37349 -0.1468 0.18699 1.5708 1.5705 -1.567 1.5708 0.3901 0.1681 -0.0389 -0.2437 
95 1.8873 2.7 3.0372 3.7334 3 3 3 3 0 0 0 0 -0.6089 -0.3735 -0.1468 0.187 1.5708 1.5705 -1.567 1.5708 0.3901 0.1681 -0.0389 -0.2437 
